FID	IID	X16312.45	X17435.43	X18331.3	X18483.36	X19467.3	X19483.16	X19506.6	X19635.69	X19760.26	X19784.16	X19821.10	X19823.75	X20064.24	X20433.19	X20444.12	X20913.27	X20923.10	X20954.27	X21188.38	X21196.29	X21210.33	X21341.19	X21355.4	X21368.46	X21663.149	X21760.22	X21793.4	X21797.4	X21810.50	X21817.5	X21833.6	X21834.8	X21839.3	X21849.2	X21969.5	X22043.174	X22484.17	X22496.21	X22972.26	X22973.8	X23008.4	X23273.42	X23407.9	X23519.91	X23620.16	X24637.3	X24915.123	X25104.10	X25244.9	X25292.6	X25912.131	X25918.60
ADNI_4521^unk^ADNI2GO_OmniEx	ADNI_4521^unk^ADNI2GO_OmniEx	-1.08946693774549	-0.0164252727157871	2.00090616637799	-0.478210024246572	0.174554470299154	-1.01891791722416	-0.467094594874757	0.565887090428853	0.417784555823649	-0.164578644427259	-1.4807743370417	0.937935216909209	1.47013586759646	-1.62668688621336	0.998688845279025	1.59351587241183	1.73099363737722	-1.88180546882306	2.30879422062479	0.0736793237470612	-2.07394489896263	1.45790892632259	0.382345643647458	-0.952931085418805	2.01614998224315	0.442761041406283	-1.47825072182649	0.77353834564571	-1.66635656574963	1.17619819739441	-0.263686595035802	-0.543726093000604	-0.425654893154232	1.1871900096345	-0.066962697778608	1.30889436918625	0.311882113814775	-0.0373402204472311	-0.267409922859546	0.899364837832567	-1.74224803687984	-1.32313145066405	1.49051863693588	0.621096847404177	-0.0800446181082839	1.37032435850403	1.3406030296397	-1.05602155907026	-0.990878470380426	1.46846857057138	1.15338020676632	0.460169152121709
ADNI_4488^unk^ADNI2GO_OmniEx	ADNI_4488^unk^ADNI2GO_OmniEx	-1.97242892104334	0.176560752139071	-0.286863198700174	-1.10687110507594	-0.931694371911671	-0.656524670872042	-1.15961104611198	-0.276609105756204	-0.886441096832871	-0.777250872878677	-0.330311580981861	-1.56500499545862	0.412279581496913	0.670362643782993	0.890622977967867	-0.579037666041933	0.250110083235519	-1.23451884979563	-0.318969335801338	-1.0306900072444	1.21552224509777	0.493605239976571	-2.02606152980447	-1.40518032158606	-1.15095319438713	-1.52895011661794	-0.470212554216167	0.417260344179297	-0.522666741872958	-0.286376502475377	-0.147878343907182	-0.750987828144018	-1.65350099435881	-0.569692638348527	-1.42780853438392	-0.475208861940278	-2.18711633601495	-0.450480439509851	0.0235966054850359	-0.303581889249715	-1.35050561652378	-1.4621606067491	-0.608811479663817	-2.23701504062774	-0.330296697902032	-0.620378331664774	-0.125385696383071	-0.556229305723651	-1.50455179508664	0.43765071191155	0.813261604734782	-0.698913845459904
ADNI_4516^unk^ADNI2GO_OmniEx	ADNI_4516^unk^ADNI2GO_OmniEx	-1.70589696192657	0.0483021396331315	-0.898427597743463	NA	1.15165438943322	NA	1.65720638482287	0.205614792587419	1.00274864611524	2.03811895145834	NA	1.90478185190625	0.0161921939676644	0.0260329704643857	1.29642277997575	-0.0810846536001866	-0.941132729669152	0.641215414950261	0.118954454030987	-0.464012360259816	-0.854635530855046	-0.138656834422457	NA	-1.04530892267806	-1.0516780786902	-2.31106690290483	2.33321424997557	0.979757560220886	NA	-0.498438773591961	2.14789375153764	1.74654766107804	0.814418609102268	0.949141491243526	-0.600724686193818	-1.49512997621138	-1.5462287716843	-0.690503011875167	-0.0846187443452226	1.47960040365448	0.719923828196866	0.146539179385948	0.744109120923639	-1.8789055065873	-0.616994551420614	-0.0730206785643538	-0.031531243554241	-1.32748626511829	0.377550401403889	0.571046975948116	0.552762272151506	-0.352431669912812
ADNI_4530^unk^ADNI2GO_OmniEx	ADNI_4530^unk^ADNI2GO_OmniEx	-0.723551396450731	0.770094653644586	-0.428723338474644	-0.654881211083068	-1.10343993400646	-0.933193023893472	-0.0372187977816239	0.15874337204345	0.0533894027744078	-0.198877298661063	-0.564988432888662	-0.241641903606653	0.386062869653343	0.310147072325606	1.40892303638134	1.34982612781115	0.866367769223391	-0.0187532674941644	2.60068997707516	-0.20755268405063	-1.004003768504	0.92679820027082	-0.533087142337026	-1.32329450700276	-1.07567183614397	1.34628616689449	-0.301523482904304	0.567253509311545	-0.397692174115848	1.1628705800392	-0.747300796207354	-0.287223987326083	-0.0885479312194843	-0.415178704205608	-0.313259619004721	-0.349763065269621	-0.370652826188589	-0.705962207029931	-0.300107978859608	0.112136230699919	-0.732148350341915	-2.04477004134923	0.423171788670298	-0.914998480590952	0.231354339123858	1.29723591636381	0.0427634884187425	0.261939584026744	-0.0578825709203756	0.427700595467653	0.371687773195582	-0.400437135480984
ADNI_4462^unk^ADNI2GO_OmniEx	ADNI_4462^unk^ADNI2GO_OmniEx	0.370554453258401	0.245379304191712	-0.597242966467762	-0.2053789776196	0.0611715664601706	0.166135906723322	0.181160797258359	-0.342020558691714	0.393190553598358	0.546646787286405	0.146606981398751	0.0245477112023246	0.000302747845282074	0.294935659505916	-0.0944251545065031	-0.171197531449759	-0.411254532080668	-0.203608398376132	0.594466816027852	0.585206609640771	0.759803271646171	0.03505526164586	-0.654303487938629	0.58524198549812	-0.277662917318928	-0.271749666832657	0.316074390273702	-1.76151471850655	0.181741445890897	-0.212127066231779	0.38601273077397	0.345167161668174	-0.494848172379975	-0.752623530763329	0.00657714602176603	-0.148446045129553	-0.486949488631303	-0.215633483081097	-0.53002766869429	-0.868720469596556	-0.137341413492092	0.259594819660902	-0.286129374504901	-0.0167992160395431	0.499376575240186	0.132592440084862	-0.418674507531284	-1.16870874448881	-1.58448796741714	-0.713191692037728	0.183912825075445	0.136615710176172
ADNI_4465^unk^ADNI2GO_OmniEx	ADNI_4465^unk^ADNI2GO_OmniEx	-1.46097287535924	-1.45312027195969	-0.00170848888453127	-1.12414142113401	-1.00428169626104	-1.02754014180352	-0.92765118549265	-1.13749151778797	-1.68927176834084	-1.54221750907447	-0.708409521150562	-2.22952150768722	0.149546008427497	0.21863040288739	-0.985827216274351	-0.907309923043678	-0.541811502018342	-1.31608246606019	0.0406567677204105	-1.41433979752365	0.879312102517662	-0.770374102151104	-0.726174586883252	-0.998939576749603	-1.17535748204533	-0.234381276550887	-1.57456922979385	0.177206069283017	-1.0492184352701	-1.44429105648351	-0.6034312804658	-0.928293805549996	-0.706162796908215	-0.282933381134026	-1.01584042034511	-1.26049151502328	-1.90833273357061	1.23453741555177	0.648518795923587	-0.605496562402926	-0.511432627505792	-0.445007818690254	-1.27378021778952	-1.31189324770075	0.202030465627472	-0.058085768681916	-1.59913091045607	0.81433399346902	-1.33636005404979	-0.920955063254994	0.21646284933181	-1.34886324355758
ADNI_4464^unk^ADNI2GO_OmniEx	ADNI_4464^unk^ADNI2GO_OmniEx	NA	-0.279440446623358	0.723564084649796	-2.73681918349199	-1.76937182642808	-1.90081092344833	-2.21405016738756	NA	-0.940205910510275	-1.84447349188707	-1.31035181572507	-1.83442322297884	0.383058358152756	-0.447274746703618	1.56014795293357	2.3525126598188	0.0616774237268361	NA	NA	-2.34213053497746	0.628150539302516	0.920747844246173	NA	NA	-2.36746814795214	1.10348398273571	-2.2371349678831	0.407979664259048	-1.73060662092539	1.8768266183246	-1.56528117665573	-1.24328759983093	-1.94060191911496	-1.07244220647835	NA	0.473859912599544	NA	0.0300414089786266	-0.41008298353054	0.571741014035057	NA	NA	-1.24805915518029	NA	1.29067620637268	1.80016189161384	-0.581962334660458	-0.710458471060899	NA	-1.82125761918862	1.0389875067998	0.350839876038839
ADNI_4434^unk^ADNI2GO_OmniEx	ADNI_4434^unk^ADNI2GO_OmniEx	0.44022579026486	1.73250179661416	0.275376056806027	1.5435705364577	1.99536686999372	0.967635483320516	1.61343996924958	2.07580085862203	2.10171194046699	NA	2.39421194970639	NA	-0.715382939956289	1.67799853706365	-0.722844356074609	1.54044171953769	-0.816780503011919	-0.129320459696464	2.12600751859413	1.21226275066609	1.08315571486349	1.52089793031489	1.24965293606104	0.484280172722082	0.153726301726844	0.631593640477326	NA	1.42585566101584	1.81143526354298	1.1252521739544	2.25993986832061	1.95082708610982	1.40901279941973	0.340137326242824	-0.713979046254473	0.239642813641069	1.80388727099228	-1.72196259614853	-1.22569437858009	-0.039068029299917	-0.836429915879955	-0.920470906930915	1.31083627125535	-0.141228036735063	NA	-0.758703944988956	0.0934417604035258	-0.732583300142203	0.368937093006015	1.25017155516032	-0.612086042536884	0.346163405791662
ADNI_4376^unk^ADNI2GO_OmniEx	ADNI_4376^unk^ADNI2GO_OmniEx	-2.13689887317259	-1.6096008651528	0.0781039908228178	-1.68937985139046	-1.25648488173088	-1.70163818961615	-1.51802209679834	-0.687864974261166	-1.13630511267199	-1.29522547995884	-0.92065275143927	-0.953206839429714	0.606945272015414	-0.240212883115575	0.00433257209422063	0.698352907849034	0.479063785797712	-2.07653569948084	2.04887319641401	-0.627535492066198	0.644681038077866	1.78025015249065	-2.00039355437203	-1.02207878945425	0.0023232535616233	2.20015100986295	-0.955701215167152	0.839860211135585	-1.37535523290457	0.572004735299657	-1.32803734962989	-1.67892206799861	-2.23859812819817	0.18184465560566	-1.71848820522417	-0.336784960256766	-1.10465490903782	1.08554686374354	1.42372149202333	1.86464418285943	-1.97633675687969	-1.74796770330716	-0.107850069700664	-2.19474294660797	1.51726379475551	0.582476547136605	0.609097663128959	1.44273802272408	-1.90192773241175	0.134894555692637	0.518780495660089	-0.450464965492389
ADNI_4377^unk^ADNI2GO_OmniEx	ADNI_4377^unk^ADNI2GO_OmniEx	0.966725442557204	-0.296101871834818	-0.50463049240925	-0.646760549919255	0.215768946573884	-0.207479830218756	0.418869238740923	NA	0.00359217215960011	0.243876839591361	-1.02900562046239	0.26198564193837	0.392792622529015	-0.137815949820074	0.759956204622043	0.219886066390078	-0.0216367397232585	-0.776104901899487	0.706224787324968	0.347584621874211	-0.652046928692989	0.591792243791684	0.642186634041832	0.0686837277894549	-0.0647434273204926	-0.454916559060892	0.0463085369056437	0.700555484024801	-0.480804176929738	-0.243616433257958	0.221460378642919	0.380257489963539	0.453279746665053	1.26443799529946	-0.748257198238546	-1.11876888031409	0.772407833268091	0.857962178113692	0.192195091799318	-0.781952216700092	-0.220022147325472	-0.29281532235425	0.880269255489042	0.105446529900722	0.405862405850926	1.22610015254104	0.596174090003154	-0.283586517139472	-0.24394632780452	1.13926722964802	1.3656266573777	0.929852995236171
