discovery,ad_sample,locus_name,gene_name
DAL_Brain,Female,MFSD6,MFSD6
DAL_Brain,Female,CD84(ADAMTS4),FCER1G
DAL_Brain,Female,CD84(ADAMTS4),KLHDC9
DAL_Brain,Female,ACSL6,ACSL6
DAL_Brain,Male,PHB1,PHB1
DAL_Brain,Female,USP4/USP19,USP19
DAL_Brain,Female,TOM1L2,TOM1L2
DAL_Brain,Female,TDRKH/MINDY1,TDRKH
DAL_Brain,Female,SFXN4,SFXN4
DAL_Brain,Female,HP,HP
DAL_CSF,Female,TSPAN14/ANXA11,ANXA11
DAL_CSF,Female,ARSA,ARSA
DAL_CSF,Female,CD84(ADAMTS4),CD84
DAL_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),ENO3
DAL_CSF,Female,ENO3(SCIMP/RABEP1/CHRNE),RABEP1
DAL_CSF,Female,ETFA/SCAPER/RCN2,ETFA
DAL_CSF,Male,GBA1,GBA1
DAL_CSF,Female,MBL2,MBL2
DAL_CSF,Female,HP,HP
DAL_CSF,Female,NCK1,NCK1
DAL_CSF,Female,RASA4B,RELN
DAL_CSF,Female,USP4/USP19,USP19
DAL_CSF,Female,YARS1,YARS1
